,Log,Min,Max,Mean,P25,P75,Median,Notion
0,01 (Traditional),0.0076279190601403,162.35844814846928,36.79728333128499,3.279662496033109,35.569591055130324,17.516400149138637, (Traditional)
1,01 (Advanced),0.0,14.70327699516063,8.172163010471731,2.2690645958258786,13.340453646353332,11.28282759378307, (Advanced)
2,01 (Connected),5.510173830621112,5.510173830621112,5.510173830621112,5.510173830621112,5.510173830621112,5.510173830621112, (Connected)
3,02 (Traditional),17.9146525889645,34.87192583197996,26.83890208016444,24.052052436902457,29.280868351042212,28.419894564317303, (Traditional)
4,02 (Advanced),9.116751781594154,10.988478452826303,10.721088928364566,10.988478452826303,10.988478452826303,10.988478452826303, (Advanced)
5,02 (Connected),10.988478452826303,10.988478452826303,10.988478452826303,10.988478452826303,10.988478452826303,10.988478452826303, (Connected)
6,03 (Traditional),0.0,43.16826505815577,22.00589041147242,1.4142135623730951,41.4837029460157,21.4229067340768, (Traditional)
7,03 (Advanced),0.0,13.331965195903496,2.747584183143865,0.0,2.982963074638864,0.0, (Advanced)
8,03 (Connected),5.430366303113563,5.430366303113563,5.430366303113563,5.430366303113563,5.430366303113563,5.430366303113563, (Connected)
9,04 (Traditional),0.499239197242037,29.19256055808435,18.301511944444687,13.819648514272867,25.815292553674944,20.4530128655585, (Traditional)
10,04 (Advanced),0.0,6.324047374104375,3.039182801062999,2.8889168488490045,3.022185112678104,3.022185112678104, (Advanced)
11,04 (Connected),17.293178447392386,17.293178447392386,17.293178447392386,17.293178447392386,17.293178447392386,17.293178447392386, (Connected)
12,05 (Traditional),0.0,45.30664401796172,11.543571716443502,0.03818894466732637,17.669486275345086,0.25841449051205934, (Traditional)
13,05 (Advanced),0.0,0.0339147929007455,0.011304930966915165,0.0,0.025436094675559122,0.0, (Advanced)
14,05 (Connected),0.0,0.0,0.0,0.0,0.0,0.0, (Connected)
15,06 (Traditional),0.632502490341248,19.289912527179613,9.440081757386373,5.9402349148305635,13.837063882741594,8.062460574349053, (Traditional)
16,06 (Advanced),0.0,50.65274863808245,9.300492451855039,1.7789125190039323,5.709350388055856,3.5638018177048543, (Advanced)
17,06 (Connected),0.0,0.0,0.0,0.0,0.0,0.0, (Connected)
18,07 (Traditional),0.0,50.98507305450757,24.162180056032696,10.750733556795254,36.243270084049044,21.501467113590508, (Traditional)
19,07 (Advanced),0.0,0.0,0.0,0.0,0.0,0.0, (Advanced)
20,07 (Connected),0.0,0.0,0.0,0.0,0.0,0.0, (Connected)
21,08 (Traditional),0.0,18.247524722214077,7.365872756114855,1.6857857422874178,10.550053106042892,7.22494501252598, (Traditional)
22,08 (Advanced),0.0,1.0052948293082469,0.16754913821804115,0.0,0.0,0.0, (Advanced)
23,08 (Connected),0.0,0.0,0.0,0.0,0.0,0.0, (Connected)
24,09 (Traditional),0.0,91.23984798894888,27.170897267649636,0.0,53.79162145693691,0.19630270161986144, (Traditional)
25,09 (Advanced),0.0,41.240346382578295,6.873391063763049,0.0,0.0,0.0, (Advanced)
26,09 (Connected),0.0,0.0,0.0,0.0,0.0,0.0, (Connected)
27,10 (Traditional),6.815384325719518,109.08656071134452,40.89799973759192,10.886466219088549,55.77520839122615,21.926379040580837, (Traditional)
28,10 (Advanced),4.950030938092425,63.24037968295139,31.627074670325726,8.52007569650428,55.95131625498106,25.47357077909948, (Advanced)
29,10 (Connected),4.051763601773487,4.051763601773487,4.051763601773487,4.051763601773487,4.051763601773487,4.051763601773487, (Connected)
