,Log,Objects,Events,Activities,Types,Property Value,Property,Measure,Start,Relations,Runtime
0,data/01_ocel_standard_p2p.json,9054,14671,10,7,58044.354827418254,<function standard_deviation at 0x0000015FE1CD0CC0>,<function get_total_costs at 0x0000015FE1CD0B80>,{'goods receipt'},"{('Perform Two-Way Match', 'invoice receipt'), ('quotation', 'Create Purchase Order'), ('goods receipt', 'invoice receipt'), ('Approve Purchase Order', 'quotation'), ('purchase_requisition', 'Create Request for Quotation'), ('material', 'Approve Purchase Requisition'), ('Create Request for Quotation', 'quotation'), ('goods receipt', 'purchase_order'), ('Create Purchase Order', 'quotation'), ('goods receipt', 'payment'), ('goods receipt', 'material'), ('Create Goods Receipt', 'purchase_order'), ('Create Request for Quotation', 'purchase_requisition'), ('Approve Purchase Order', 'purchase_order'), ('Perform Two-Way Match', 'goods receipt'), ('Create Purchase Order', 'purchase_order'), ('purchase_requisition', 'Approve Purchase Requisition'), ('material', 'quotation'), ('Delegate Purchase Requisition Approval', 'purchase_requisition'), ('Create Invoice Receipt', 'invoice receipt'), ('material', 'Delegate Purchase Requisition Approval'), ('quotation', 'Approve Purchase Order'), ('Create Purchase Requisition', 'purchase_requisition'), ('goods receipt', 'Execute Payment'), ('material', 'purchase_requisition'), ('Delegate Purchase Requisition Approval', 'material'), ('goods receipt', 'Create Goods Receipt'), ('quotation', 'purchase_requisition'), ('material', 'purchase_order'), ('Create Goods Receipt', 'goods receipt'), ('Create Purchase Requisition', 'material'), ('quotation', 'purchase_order'), ('purchase_requisition', 'quotation'), ('purchase_requisition', 'Delegate Purchase Requisition Approval'), ('material', 'Create Purchase Requisition'), ('Approve Purchase Requisition', 'purchase_requisition'), ('quotation', 'material'), ('goods receipt', 'Perform Two-Way Match'), ('Create Invoice Receipt', 'goods receipt'), ('material', 'goods receipt'), ('Approve Purchase Requisition', 'material'), ('goods receipt', 'Create Invoice Receipt'), ('purchase_requisition', 'Create Purchase Requisition'), ('purchase_requisition', 'material'), ('quotation', 'Create Request for Quotation')}",390.242919921875
1,data/01_ocel_standard_p2p.json,9054,14671,10,7,3.967878681179557,<function skewness at 0x0000015FE1CD0EA0>,<function get_total_costs at 0x0000015FE1CD0B80>,{'material'},"{('goods receipt', 'invoice receipt'), ('Approve Purchase Order', 'quotation'), ('material', 'Approve Purchase Requisition'), ('Create Request for Quotation', 'quotation'), ('goods receipt', 'purchase_order'), ('Create Purchase Order', 'quotation'), ('goods receipt', 'payment'), ('invoice receipt', 'Perform Two-Way Match'), ('Create Goods Receipt', 'purchase_order'), ('goods receipt', 'material'), ('Create Request for Quotation', 'purchase_requisition'), ('Approve Purchase Order', 'purchase_order'), ('invoice receipt', 'Create Invoice Receipt'), ('Create Purchase Order', 'purchase_order'), ('material', 'quotation'), ('material', 'Delegate Purchase Requisition Approval'), ('goods receipt', 'Execute Payment'), ('material', 'purchase_requisition'), ('goods receipt', 'Create Goods Receipt'), ('Create Goods Receipt', 'goods receipt'), ('material', 'purchase_order'), ('invoice receipt', 'purchase_order'), ('material', 'Create Purchase Requisition'), ('goods receipt', 'Perform Two-Way Match'), ('invoice receipt', 'payment'), ('material', 'goods receipt'), ('goods receipt', 'Create Invoice Receipt'), ('invoice receipt', 'goods receipt'), ('invoice receipt', 'Execute Payment')}",382.07023906707764
2,data/01_ocel_standard_p2p.json,9054,14671,10,7,18.59259954264156,<function kurtosis at 0x0000015FE1CD0F40>,<function get_total_costs at 0x0000015FE1CD0B80>,{'material'},"{('goods receipt', 'invoice receipt'), ('Approve Purchase Order', 'quotation'), ('material', 'Approve Purchase Requisition'), ('Create Request for Quotation', 'quotation'), ('goods receipt', 'purchase_order'), ('Create Purchase Order', 'quotation'), ('goods receipt', 'payment'), ('invoice receipt', 'Perform Two-Way Match'), ('goods receipt', 'material'), ('Create Goods Receipt', 'purchase_order'), ('Create Request for Quotation', 'purchase_requisition'), ('Approve Purchase Order', 'purchase_order'), ('invoice receipt', 'Create Invoice Receipt'), ('Create Purchase Order', 'purchase_order'), ('material', 'quotation'), ('material', 'Delegate Purchase Requisition Approval'), ('goods receipt', 'Execute Payment'), ('material', 'purchase_requisition'), ('goods receipt', 'Create Goods Receipt'), ('material', 'purchase_order'), ('Create Goods Receipt', 'goods receipt'), ('invoice receipt', 'purchase_order'), ('material', 'Create Purchase Requisition'), ('goods receipt', 'Perform Two-Way Match'), ('invoice receipt', 'payment'), ('material', 'goods receipt'), ('goods receipt', 'Create Invoice Receipt'), ('invoice receipt', 'goods receipt'), ('invoice receipt', 'Execute Payment')}",386.86077427864075
3,data/01_ocel_standard_p2p.json,9054,14671,10,7,1029372.1353004264,<function standard_deviation at 0x0000015FE1CD0CC0>,<function get_cycle_time at 0x0000015FE1CD0680>,{'material'},"{('Execute Payment', 'purchase_order'), ('Perform Two-Way Match', 'invoice receipt'), ('Execute Payment', 'payment'), ('payment', 'invoice receipt'), ('goods receipt', 'invoice receipt'), ('Approve Purchase Order', 'quotation'), ('payment', 'purchase_order'), ('material', 'Approve Purchase Requisition'), ('Create Request for Quotation', 'quotation'), ('goods receipt', 'purchase_order'), ('Create Purchase Order', 'quotation'), ('goods receipt', 'payment'), ('invoice receipt', 'Perform Two-Way Match'), ('Create Goods Receipt', 'purchase_order'), ('Perform Two-Way Match', 'goods receipt'), ('Create Request for Quotation', 'purchase_requisition'), ('Approve Purchase Order', 'purchase_order'), ('goods receipt', 'material'), ('Execute Payment', 'goods receipt'), ('invoice receipt', 'Create Invoice Receipt'), ('Create Purchase Order', 'purchase_order'), ('payment', 'goods receipt'), ('material', 'quotation'), ('material', 'Delegate Purchase Requisition Approval'), ('Create Invoice Receipt', 'invoice receipt'), ('payment', 'Execute Payment'), ('goods receipt', 'Execute Payment'), ('material', 'purchase_requisition'), ('goods receipt', 'Create Goods Receipt'), ('material', 'purchase_order'), ('Create Goods Receipt', 'goods receipt'), ('invoice receipt', 'purchase_order'), ('material', 'Create Purchase Requisition'), ('Approve Purchase Requisition', 'purchase_requisition'), ('goods receipt', 'Perform Two-Way Match'), ('Create Invoice Receipt', 'goods receipt'), ('invoice receipt', 'payment'), ('Approve Purchase Requisition', 'material'), ('material', 'goods receipt'), ('goods receipt', 'Create Invoice Receipt'), ('invoice receipt', 'goods receipt'), ('invoice receipt', 'Execute Payment'), ('Execute Payment', 'invoice receipt')}",141.18563151359558
4,data/01_ocel_standard_p2p.json,9054,14671,10,7,3.627008596054656,<function skewness at 0x0000015FE1CD0EA0>,<function get_cycle_time at 0x0000015FE1CD0680>,{'payment'},"{('Execute Payment', 'purchase_order'), ('Perform Two-Way Match', 'invoice receipt'), ('Execute Payment', 'payment'), ('payment', 'invoice receipt'), ('quotation', 'Create Purchase Order'), ('Approve Purchase Order', 'quotation'), ('payment', 'purchase_order'), ('purchase_requisition', 'Create Request for Quotation'), ('material', 'Approve Purchase Requisition'), ('Create Request for Quotation', 'quotation'), ('Create Purchase Order', 'quotation'), ('Create Goods Receipt', 'purchase_order'), ('Perform Two-Way Match', 'goods receipt'), ('Create Request for Quotation', 'purchase_requisition'), ('Approve Purchase Order', 'purchase_order'), ('Execute Payment', 'goods receipt'), ('Create Purchase Order', 'purchase_order'), ('payment', 'goods receipt'), ('purchase_requisition', 'Approve Purchase Requisition'), ('Create Invoice Receipt', 'invoice receipt'), ('material', 'quotation'), ('Delegate Purchase Requisition Approval', 'purchase_requisition'), ('material', 'Delegate Purchase Requisition Approval'), ('payment', 'Execute Payment'), ('quotation', 'Approve Purchase Order'), ('Create Purchase Requisition', 'purchase_requisition'), ('material', 'purchase_requisition'), ('Delegate Purchase Requisition Approval', 'material'), ('material', 'purchase_order'), ('Create Goods Receipt', 'goods receipt'), ('quotation', 'purchase_requisition'), ('Create Purchase Requisition', 'material'), ('quotation', 'purchase_order'), ('purchase_requisition', 'quotation'), ('purchase_requisition', 'Delegate Purchase Requisition Approval'), ('material', 'Create Purchase Requisition'), ('Approve Purchase Requisition', 'purchase_requisition'), ('quotation', 'material'), ('Create Invoice Receipt', 'goods receipt'), ('Approve Purchase Requisition', 'material'), ('material', 'goods receipt'), ('purchase_requisition', 'Create Purchase Requisition'), ('purchase_requisition', 'material'), ('quotation', 'Create Request for Quotation'), ('Execute Payment', 'invoice receipt')}",180.38524675369263
5,data/01_ocel_standard_p2p.json,9054,14671,10,7,14.484823229776659,<function kurtosis at 0x0000015FE1CD0F40>,<function get_cycle_time at 0x0000015FE1CD0680>,{'payment'},"{('Execute Payment', 'purchase_order'), ('Perform Two-Way Match', 'invoice receipt'), ('payment', 'invoice receipt'), ('Execute Payment', 'payment'), ('quotation', 'Create Purchase Order'), ('Approve Purchase Order', 'quotation'), ('payment', 'purchase_order'), ('purchase_requisition', 'Create Request for Quotation'), ('material', 'Approve Purchase Requisition'), ('Create Request for Quotation', 'quotation'), ('Create Purchase Order', 'quotation'), ('Create Goods Receipt', 'purchase_order'), ('Perform Two-Way Match', 'goods receipt'), ('Create Request for Quotation', 'purchase_requisition'), ('Approve Purchase Order', 'purchase_order'), ('Execute Payment', 'goods receipt'), ('Create Purchase Order', 'purchase_order'), ('purchase_requisition', 'Approve Purchase Requisition'), ('payment', 'goods receipt'), ('material', 'quotation'), ('material', 'Delegate Purchase Requisition Approval'), ('Create Invoice Receipt', 'invoice receipt'), ('Delegate Purchase Requisition Approval', 'purchase_requisition'), ('quotation', 'Approve Purchase Order'), ('payment', 'Execute Payment'), ('Create Purchase Requisition', 'purchase_requisition'), ('material', 'purchase_requisition'), ('Delegate Purchase Requisition Approval', 'material'), ('Create Goods Receipt', 'goods receipt'), ('quotation', 'purchase_requisition'), ('material', 'purchase_order'), ('Create Purchase Requisition', 'material'), ('quotation', 'purchase_order'), ('purchase_requisition', 'quotation'), ('purchase_requisition', 'Delegate Purchase Requisition Approval'), ('material', 'Create Purchase Requisition'), ('quotation', 'material'), ('Approve Purchase Requisition', 'purchase_requisition'), ('Create Invoice Receipt', 'goods receipt'), ('material', 'goods receipt'), ('Approve Purchase Requisition', 'material'), ('purchase_requisition', 'Create Purchase Requisition'), ('purchase_requisition', 'material'), ('quotation', 'Create Request for Quotation'), ('Execute Payment', 'invoice receipt')}",219.11208581924438
6,data/01_ocel_standard_p2p.json,9054,14671,10,7,2.9597470255935927,<function standard_deviation at 0x0000015FE1CD0CC0>,<function get_resource_usage at 0x0000015FE1CD0AE0>,{'purchase_order'},"{('Perform Two-Way Match', 'invoice receipt'), ('purchase_order', 'invoice receipt'), ('Approve Purchase Order', 'quotation'), ('purchase_order', 'payment'), ('purchase_requisition', 'Create Request for Quotation'), ('material', 'Approve Purchase Requisition'), ('purchase_order', 'material'), ('Create Request for Quotation', 'quotation'), ('Create Purchase Order', 'quotation'), ('invoice receipt', 'Perform Two-Way Match'), ('Create Goods Receipt', 'purchase_order'), ('Perform Two-Way Match', 'goods receipt'), ('Create Request for Quotation', 'purchase_requisition'), ('Approve Purchase Order', 'purchase_order'), ('invoice receipt', 'Create Invoice Receipt'), ('purchase_order', 'goods receipt'), ('Create Purchase Order', 'purchase_order'), ('purchase_requisition', 'Approve Purchase Requisition'), ('purchase_order', 'Create Goods Receipt'), ('Create Invoice Receipt', 'invoice receipt'), ('Delegate Purchase Requisition Approval', 'purchase_requisition'), ('material', 'Delegate Purchase Requisition Approval'), ('purchase_order', 'Execute Payment'), ('material', 'quotation'), ('Create Purchase Requisition', 'purchase_requisition'), ('material', 'purchase_requisition'), ('purchase_order', 'Create Purchase Order'), ('Delegate Purchase Requisition Approval', 'material'), ('material', 'purchase_order'), ('Create Goods Receipt', 'goods receipt'), ('Create Purchase Requisition', 'material'), ('purchase_requisition', 'quotation'), ('purchase_requisition', 'Delegate Purchase Requisition Approval'), ('invoice receipt', 'purchase_order'), ('material', 'Create Purchase Requisition'), ('Approve Purchase Requisition', 'purchase_requisition'), ('Create Invoice Receipt', 'goods receipt'), ('invoice receipt', 'payment'), ('material', 'goods receipt'), ('Approve Purchase Requisition', 'material'), ('purchase_requisition', 'Create Purchase Requisition'), ('purchase_requisition', 'material'), ('invoice receipt', 'goods receipt'), ('purchase_order', 'quotation'), ('purchase_order', 'Approve Purchase Order'), ('invoice receipt', 'Execute Payment')}",624.6680142879486
7,data/01_ocel_standard_p2p.json,9054,14671,10,7,5.4658047375881225,<function skewness at 0x0000015FE1CD0EA0>,<function get_resource_usage at 0x0000015FE1CD0AE0>,{'material'},"{('Execute Payment', 'purchase_order'), ('Perform Two-Way Match', 'invoice receipt'), ('payment', 'invoice receipt'), ('Execute Payment', 'payment'), ('goods receipt', 'invoice receipt'), ('Approve Purchase Order', 'quotation'), ('payment', 'purchase_order'), ('material', 'Approve Purchase Requisition'), ('Create Request for Quotation', 'quotation'), ('goods receipt', 'purchase_order'), ('Create Purchase Order', 'quotation'), ('goods receipt', 'payment'), ('invoice receipt', 'Perform Two-Way Match'), ('goods receipt', 'material'), ('Create Goods Receipt', 'purchase_order'), ('Perform Two-Way Match', 'goods receipt'), ('Approve Purchase Order', 'purchase_order'), ('Create Request for Quotation', 'purchase_requisition'), ('Execute Payment', 'goods receipt'), ('invoice receipt', 'Create Invoice Receipt'), ('Create Purchase Order', 'purchase_order'), ('payment', 'goods receipt'), ('material', 'quotation'), ('Create Invoice Receipt', 'invoice receipt'), ('material', 'Delegate Purchase Requisition Approval'), ('payment', 'Execute Payment'), ('goods receipt', 'Execute Payment'), ('material', 'purchase_requisition'), ('goods receipt', 'Create Goods Receipt'), ('Create Goods Receipt', 'goods receipt'), ('material', 'purchase_order'), ('invoice receipt', 'purchase_order'), ('material', 'Create Purchase Requisition'), ('goods receipt', 'Perform Two-Way Match'), ('invoice receipt', 'payment'), ('Create Invoice Receipt', 'goods receipt'), ('material', 'goods receipt'), ('goods receipt', 'Create Invoice Receipt'), ('invoice receipt', 'goods receipt'), ('invoice receipt', 'Execute Payment'), ('Execute Payment', 'invoice receipt')}",551.406822681427
8,data/01_ocel_standard_p2p.json,9054,14671,10,7,32.54606107553868,<function kurtosis at 0x0000015FE1CD0F40>,<function get_resource_usage at 0x0000015FE1CD0AE0>,{'material'},"{('Execute Payment', 'purchase_order'), ('Perform Two-Way Match', 'invoice receipt'), ('Execute Payment', 'payment'), ('payment', 'invoice receipt'), ('goods receipt', 'invoice receipt'), ('Approve Purchase Order', 'quotation'), ('payment', 'purchase_order'), ('material', 'Approve Purchase Requisition'), ('Create Request for Quotation', 'quotation'), ('goods receipt', 'purchase_order'), ('Create Purchase Order', 'quotation'), ('goods receipt', 'payment'), ('invoice receipt', 'Perform Two-Way Match'), ('Create Goods Receipt', 'purchase_order'), ('Perform Two-Way Match', 'goods receipt'), ('Create Request for Quotation', 'purchase_requisition'), ('Approve Purchase Order', 'purchase_order'), ('goods receipt', 'material'), ('Execute Payment', 'goods receipt'), ('invoice receipt', 'Create Invoice Receipt'), ('Create Purchase Order', 'purchase_order'), ('payment', 'goods receipt'), ('Create Invoice Receipt', 'invoice receipt'), ('material', 'quotation'), ('material', 'Delegate Purchase Requisition Approval'), ('payment', 'Execute Payment'), ('goods receipt', 'Execute Payment'), ('material', 'purchase_requisition'), ('goods receipt', 'Create Goods Receipt'), ('material', 'purchase_order'), ('Create Goods Receipt', 'goods receipt'), ('invoice receipt', 'purchase_order'), ('material', 'Create Purchase Requisition'), ('goods receipt', 'Perform Two-Way Match'), ('Create Invoice Receipt', 'goods receipt'), ('invoice receipt', 'payment'), ('material', 'goods receipt'), ('goods receipt', 'Create Invoice Receipt'), ('invoice receipt', 'goods receipt'), ('invoice receipt', 'Execute Payment'), ('Execute Payment', 'invoice receipt')}",564.0480608940125
9,data/02_ocel_legacy_recruiting.jsonocel,1505,6980,16,6,13829703.155548478,<function standard_deviation at 0x0000015FE1CD0CC0>,<function get_cycle_time at 0x0000015FE1CD0680>,{'applications'},"{('applications', 'job offer declined'), ('consult manager', 'recruiters'), ('conduct interview', 'applicants'), ('make job offer', 'offers'), ('conduct interview', 'recruiters'), ('job offer declined', 'vacancies'), ('make job offer', 'vacancies'), ('offers', 'make job offer'), ('invite for interview', 'vacancies'), ('make job offer', 'recruiters'), ('check references', 'recruiters'), ('offer accepted and hired', 'applicants'), ('applications', 'consult manager'), ('submit application', 'applicants'), ('invite for interview', 'applicants'), ('vacancies', 'offer accepted and hired'), ('change manager', 'managers'), ('invite for interview', 'recruiters'), ('conduct interview', 'applications'), ('applications', 'make job offer'), ('assign recruiter', 'applications'), ('job offer declined', 'offers'), ('vacancies', 'conduct interview'), ('applicants', 'job offer declined'), ('open vacancy', 'managers'), ('first screening', 'applications'), ('change manager', 'vacancies'), ('check references', 'applications'), ('applications', 'invite for interview'), ('offer accepted and hired', 'applications'), ('job offer declined', 'applicants'), ('applicants', 'invite for interview'), ('job offer declined', 'recruiters'), ('vacancies', 'job offer declined'), ('applications', 'submit application'), ('open vacancy', 'vacancies'), ('make job offer', 'applicants'), ('close vacancy (no hire)', 'vacancies'), ('applications', 'assign recruiter'), ('applications', 'assign vacancy'), ('consult manager', 'applications'), ('applications', 'send rejection'), ('applications', 'first screening'), ('send rejection', 'applicants'), ('applicants', 'send rejection'), ('send rejection', 'recruiters'), ('applicants', 'make job offer'), ('vacancies', 'close vacancy (no hire)'), ('applications', 'check references'), ('make job offer', 'applications'), ('vacancies', 'assign vacancy'), ('consult manager', 'managers'), ('submit application', 'applications'), ('conduct interview', 'managers'), ('invite for interview', 'applications'), ('vacancies', 'make job offer'), ('close vacancy for new applications', 'vacancies'), ('offers', 'offer accepted and hired'), ('vacancies', 'close vacancy for new applications'), ('applicants', 'submit application'), ('make job offer', 'managers'), ('conduct interview', 'vacancies'), ('vacancies', 'invite for interview'), ('vacancies', 'change manager'), ('applications', 'offer accepted and hired'), ('assign recruiter', 'recruiters'), ('job offer declined', 'applications'), ('vacancies', 'submit application'), ('offer accepted and hired', 'offers'), ('applicants', 'offer accepted and hired'), ('applications', 'conduct interview'), ('offer accepted and hired', 'vacancies'), ('vacancies', 'open vacancy'), ('offers', 'job offer declined'), ('submit application', 'vacancies'), ('first screening', 'recruiters'), ('applicants', 'conduct interview'), ('offer accepted and hired', 'recruiters'), ('send rejection', 'applications')}",31.326374292373657
