,Log,Objects,Events,Activities,Types,Property Value,Property,Measure,Start,Relations,Notion
0,data/01_ocel_standard_p2p.json,9054,14671,10,7,0.0,<function standard_deviation at 0x0000018861BB0CC0>,<function get_total_costs at 0x0000018861BB0B80>,{'purchase_order'},"{('purchase_order', 'Create Purchase Order'), ('purchase_order', 'Approve Purchase Order'), ('purchase_order', 'Execute Payment'), ('purchase_order', 'Create Goods Receipt')}",Traditional
1,data/01_ocel_standard_p2p.json,9054,14671,10,7,0.0,<function standard_deviation at 0x0000018861BB0CC0>,<function get_total_costs at 0x0000018861BB0B80>,{'goods receipt'},"{('goods receipt', 'Create Goods Receipt'), ('goods receipt', 'Perform Two-Way Match'), ('goods receipt', 'Create Invoice Receipt'), ('goods receipt', 'Execute Payment')}",Traditional
2,data/01_ocel_standard_p2p.json,9054,14671,10,7,0.0,<function standard_deviation at 0x0000018861BB0CC0>,<function get_total_costs at 0x0000018861BB0B80>,{'quotation'},"{('quotation', 'Create Request for Quotation'), ('quotation', 'Approve Purchase Order'), ('quotation', 'Create Purchase Order')}",Traditional
3,data/01_ocel_standard_p2p.json,9054,14671,10,7,0.0,<function standard_deviation at 0x0000018861BB0CC0>,<function get_total_costs at 0x0000018861BB0B80>,{'material'},"{('material', 'Approve Purchase Requisition'), ('material', 'Create Purchase Requisition'), ('material', 'Delegate Purchase Requisition Approval')}",Traditional
4,data/01_ocel_standard_p2p.json,9054,14671,10,7,0.0,<function standard_deviation at 0x0000018861BB0CC0>,<function get_total_costs at 0x0000018861BB0B80>,{'purchase_requisition'},"{('purchase_requisition', 'Delegate Purchase Requisition Approval'), ('purchase_requisition', 'Create Purchase Requisition'), ('purchase_requisition', 'Approve Purchase Requisition'), ('purchase_requisition', 'Create Request for Quotation')}",Traditional
5,data/01_ocel_standard_p2p.json,9054,14671,10,7,57962.328786208185,<function standard_deviation at 0x0000018861BB0CC0>,<function get_total_costs at 0x0000018861BB0B80>,{'invoice receipt'},"{('invoice receipt', 'Create Invoice Receipt'), ('invoice receipt', 'Perform Two-Way Match'), ('invoice receipt', 'Execute Payment')}",Traditional
6,data/01_ocel_standard_p2p.json,9054,14671,10,7,0.0,<function standard_deviation at 0x0000018861BB0CC0>,<function get_total_costs at 0x0000018861BB0B80>,{'payment'},"{('payment', 'Execute Payment')}",Traditional
7,data/01_ocel_standard_p2p.json,9054,14671,10,7,57962.328786208236,<function standard_deviation at 0x0000018861BB0CC0>,<function get_total_costs at 0x0000018861BB0B80>,"{'purchase_order', 'goods receipt', 'quotation', 'material', 'purchase_requisition', 'invoice receipt', 'payment'}","{('Delegate Purchase Requisition Approval', 'material'), ('Approve Purchase Requisition', 'purchase_requisition'), ('Create Goods Receipt', 'purchase_order'), ('Execute Payment', 'purchase_order'), ('goods receipt', 'payment'), ('Create Invoice Receipt', 'invoice receipt'), ('quotation', 'material'), ('goods receipt', 'Execute Payment'), ('payment', 'goods receipt'), ('material', 'Delegate Purchase Requisition Approval'), ('purchase_order', 'Approve Purchase Order'), ('purchase_order', 'Create Purchase Order'), ('payment', 'Execute Payment'), ('purchase_order', 'payment'), ('Create Purchase Order', 'purchase_order'), ('goods receipt', 'Create Goods Receipt'), ('purchase_order', 'Execute Payment'), ('purchase_requisition', 'material'), ('purchase_order', 'goods receipt'), ('Create Purchase Order', 'quotation'), ('goods receipt', 'Perform Two-Way Match'), ('purchase_requisition', 'Delegate Purchase Requisition Approval'), ('goods receipt', 'purchase_order'), ('Perform Two-Way Match', 'invoice receipt'), ('material', 'Approve Purchase Requisition'), ('purchase_order', 'Create Goods Receipt'), ('quotation', 'Create Request for Quotation'), ('Create Invoice Receipt', 'goods receipt'), ('payment', 'purchase_order'), ('Approve Purchase Requisition', 'material'), ('purchase_requisition', 'Create Request for Quotation'), ('purchase_requisition', 'Approve Purchase Requisition'), ('material', 'Create Purchase Requisition'), ('purchase_order', 'quotation'), ('purchase_requisition', 'Create Purchase Requisition'), ('Perform Two-Way Match', 'goods receipt'), ('Create Request for Quotation', 'purchase_requisition'), ('goods receipt', 'material'), ('invoice receipt', 'Create Invoice Receipt'), ('quotation', 'Approve Purchase Order'), ('quotation', 'Create Purchase Order'), ('Create Purchase Requisition', 'purchase_requisition'), ('Create Request for Quotation', 'quotation'), ('material', 'goods receipt'), ('purchase_order', 'material'), ('Approve Purchase Order', 'purchase_order'), ('Approve Purchase Order', 'quotation'), ('Execute Payment', 'invoice receipt'), ('Delegate Purchase Requisition Approval', 'purchase_requisition'), ('invoice receipt', 'Execute Payment'), ('invoice receipt', 'payment'), ('material', 'purchase_order'), ('invoice receipt', 'goods receipt'), ('quotation', 'purchase_requisition'), ('material', 'purchase_requisition'), ('quotation', 'purchase_order'), ('material', 'quotation'), ('purchase_requisition', 'quotation'), ('invoice receipt', 'Perform Two-Way Match'), ('goods receipt', 'invoice receipt'), ('Create Goods Receipt', 'goods receipt'), ('Create Purchase Requisition', 'material'), ('Execute Payment', 'goods receipt'), ('goods receipt', 'Create Invoice Receipt'), ('Execute Payment', 'payment'), ('payment', 'invoice receipt'), ('invoice receipt', 'purchase_order'), ('purchase_order', 'invoice receipt')}",Connected
8,data/01_ocel_standard_p2p.json,9054,14671,10,7,57962.32878620818,<function standard_deviation at 0x0000018861BB0CC0>,<function get_total_costs at 0x0000018861BB0B80>,{'purchase_order'},"{('Delegate Purchase Requisition Approval', 'material'), ('Approve Purchase Requisition', 'purchase_requisition'), ('Create Goods Receipt', 'purchase_order'), ('Execute Payment', 'purchase_order'), ('Create Invoice Receipt', 'invoice receipt'), ('goods receipt', 'Execute Payment'), ('purchase_order', 'Approve Purchase Order'), ('payment', 'Execute Payment'), ('purchase_order', 'Create Purchase Order'), ('material', 'Delegate Purchase Requisition Approval'), ('Create Purchase Order', 'purchase_order'), ('goods receipt', 'Create Goods Receipt'), ('purchase_order', 'Execute Payment'), ('Create Purchase Order', 'quotation'), ('goods receipt', 'Perform Two-Way Match'), ('purchase_requisition', 'Delegate Purchase Requisition Approval'), ('quotation', 'Create Request for Quotation'), ('purchase_order', 'Create Goods Receipt'), ('Perform Two-Way Match', 'invoice receipt'), ('material', 'Approve Purchase Requisition'), ('Create Invoice Receipt', 'goods receipt'), ('Approve Purchase Requisition', 'material'), ('purchase_requisition', 'Create Request for Quotation'), ('purchase_requisition', 'Approve Purchase Requisition'), ('material', 'Create Purchase Requisition'), ('purchase_requisition', 'Create Purchase Requisition'), ('Perform Two-Way Match', 'goods receipt'), ('Create Request for Quotation', 'purchase_requisition'), ('invoice receipt', 'Create Invoice Receipt'), ('quotation', 'Approve Purchase Order'), ('quotation', 'Create Purchase Order'), ('Create Purchase Requisition', 'purchase_requisition'), ('Create Request for Quotation', 'quotation'), ('Approve Purchase Order', 'purchase_order'), ('Approve Purchase Order', 'quotation'), ('Execute Payment', 'invoice receipt'), ('Delegate Purchase Requisition Approval', 'purchase_requisition'), ('invoice receipt', 'Execute Payment'), ('invoice receipt', 'Perform Two-Way Match'), ('Create Goods Receipt', 'goods receipt'), ('Execute Payment', 'goods receipt'), ('goods receipt', 'Create Invoice Receipt'), ('Create Purchase Requisition', 'material'), ('Execute Payment', 'payment')}",Advanced
9,data/01_ocel_standard_p2p.json,9054,14671,10,7,57962.328786208185,<function standard_deviation at 0x0000018861BB0CC0>,<function get_total_costs at 0x0000018861BB0B80>,{'goods receipt'},"{('Delegate Purchase Requisition Approval', 'material'), ('Approve Purchase Requisition', 'purchase_requisition'), ('Create Goods Receipt', 'purchase_order'), ('Execute Payment', 'purchase_order'), ('Create Invoice Receipt', 'invoice receipt'), ('goods receipt', 'Execute Payment'), ('purchase_order', 'Approve Purchase Order'), ('payment', 'Execute Payment'), ('purchase_order', 'Create Purchase Order'), ('material', 'Delegate Purchase Requisition Approval'), ('goods receipt', 'Create Goods Receipt'), ('Create Purchase Order', 'purchase_order'), ('purchase_order', 'Execute Payment'), ('Create Purchase Order', 'quotation'), ('goods receipt', 'Perform Two-Way Match'), ('purchase_requisition', 'Delegate Purchase Requisition Approval'), ('Perform Two-Way Match', 'invoice receipt'), ('purchase_order', 'Create Goods Receipt'), ('quotation', 'Create Request for Quotation'), ('material', 'Approve Purchase Requisition'), ('Create Invoice Receipt', 'goods receipt'), ('Approve Purchase Requisition', 'material'), ('purchase_requisition', 'Create Request for Quotation'), ('purchase_requisition', 'Approve Purchase Requisition'), ('material', 'Create Purchase Requisition'), ('purchase_requisition', 'Create Purchase Requisition'), ('Perform Two-Way Match', 'goods receipt'), ('Create Request for Quotation', 'purchase_requisition'), ('invoice receipt', 'Create Invoice Receipt'), ('quotation', 'Approve Purchase Order'), ('quotation', 'Create Purchase Order'), ('Create Purchase Requisition', 'purchase_requisition'), ('Create Request for Quotation', 'quotation'), ('Approve Purchase Order', 'purchase_order'), ('Execute Payment', 'invoice receipt'), ('Approve Purchase Order', 'quotation'), ('Delegate Purchase Requisition Approval', 'purchase_requisition'), ('invoice receipt', 'Execute Payment'), ('invoice receipt', 'Perform Two-Way Match'), ('Create Goods Receipt', 'goods receipt'), ('Execute Payment', 'goods receipt'), ('goods receipt', 'Create Invoice Receipt'), ('Create Purchase Requisition', 'material'), ('Execute Payment', 'payment')}",Advanced
