,Log,Objects,Events,Activities,Types,Relative Variance,Start,Relations,Runtime
0,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,86010275.37146647,{'Handling Unit'},"{('Pick Up Empty Container', 'Container'), ('Container', 'Depart'), ('Drive to Terminal', 'Truck'), ('Customer Order', 'Create Transport Document'), ('Book Vehicles', 'Vehicle'), ('Container', 'Order Empty Containers'), ('Container', 'Weigh'), ('Container', 'Drive to Terminal'), ('Load to Vehicle', 'Vehicle'), ('Weigh', 'Forklift'), ('Weigh', 'Container'), ('Container', 'Load to Vehicle'), ('Customer Order', 'Register Customer Order'), ('Handling Unit', 'Container'), ('Container', 'Load Truck'), ('Drive to Terminal', 'Container'), ('Container', 'Truck'), ('Container', 'Reschedule Container'), ('Container', 'Place in Stock'), ('Container', 'Pick Up Empty Container'), ('Customer Order', 'Transport Document'), ('Place in Stock', 'Forklift'), ('Load Truck', 'Truck'), ('Container', 'Handling Unit'), ('Reschedule Container', 'Container'), ('Register Customer Order', 'Customer Order'), ('Place in Stock', 'Container'), ('Container', 'Bring to Loading Bay'), ('Create Transport Document', 'Customer Order'), ('Reschedule Container', 'Transport Document'), ('Load Truck', 'Handling Unit'), ('Handling Unit', 'Collect Goods'), ('Create Transport Document', 'Transport Document'), ('Bring to Loading Bay', 'Forklift'), ('Bring to Loading Bay', 'Container'), ('Container', 'Transport Document'), ('Reschedule Container', 'Vehicle'), ('Load Truck', 'Container'), ('Load to Vehicle', 'Forklift'), ('Book Vehicles', 'Transport Document'), ('Load to Vehicle', 'Container'), ('Collect Goods', 'Handling Unit'), ('Handling Unit', 'Load Truck')}",1264.2530491352081
1,data/02_ocel_standard_p2p.json,9054,14671,10,7,45151327.012028344,{'material'},"{('goods receipt', 'invoice receipt'), ('goods receipt', 'material'), ('material', 'Create Purchase Requisition'), ('material', 'quotation'), ('Create Purchase Order', 'quotation'), ('Create Invoice Receipt', 'invoice receipt'), ('purchase_order', 'invoice receipt'), ('purchase_order', 'material'), ('purchase_order', 'Create Purchase Order'), ('material', 'Approve Purchase Requisition'), ('goods receipt', 'Create Invoice Receipt'), ('goods receipt', 'Execute Payment'), ('Create Request for Quotation', 'purchase_requisition'), ('Create Invoice Receipt', 'goods receipt'), ('purchase_order', 'goods receipt'), ('purchase_order', 'Approve Purchase Order'), ('invoice receipt', 'Create Invoice Receipt'), ('purchase_order', 'Execute Payment'), ('material', 'purchase_requisition'), ('goods receipt', 'payment'), ('invoice receipt', 'goods receipt'), ('invoice receipt', 'Execute Payment'), ('material', 'Delegate Purchase Requisition Approval'), ('material', 'goods receipt'), ('purchase_order', 'payment'), ('invoice receipt', 'payment'), ('goods receipt', 'purchase_order'), ('Approve Purchase Order', 'purchase_order'), ('Perform Two-Way Match', 'invoice receipt'), ('goods receipt', 'Perform Two-Way Match'), ('invoice receipt', 'purchase_order'), ('goods receipt', 'Create Goods Receipt'), ('Create Purchase Order', 'purchase_order'), ('invoice receipt', 'Perform Two-Way Match'), ('Approve Purchase Order', 'quotation'), ('material', 'purchase_order'), ('Perform Two-Way Match', 'goods receipt'), ('purchase_order', 'quotation'), ('purchase_order', 'Create Goods Receipt'), ('Create Request for Quotation', 'quotation')}",214.44826817512512
2,data/03_ocel_lrms_o2c.xml,8819,28278,22,9,28502269013.067783,{'Invoice'},"{('Customer', 'Approve Order'), ('Update Inventory', 'Product'), ('Return', 'Approve Return'), ('Invoice', 'Send Invoice to Customer'), ('Receive Payment', 'Payment'), ('Approve Return', 'Return'), ('Validate Customer Order', 'Order'), ('Process Return Request', 'Customer'), ('Return', 'Process Return Request'), ('Return', 'Issue Credit Note'), ('Customer', 'Issue Payment Reminder'), ('Generate Shipping Label', 'Shipment'), ('Issue Credit Note', 'CreditNote'), ('Process Return Request', 'Order'), ('Ship Order', 'Shipment'), ('Product', 'Update Inventory'), ('Handle Payment Discrepancy', 'Customer'), ('Customer', 'Handle Payment Discrepancy'), ('Customer', 'Reject Order'), ('Receive Customer Order', 'Customer'), ('Receive Customer Order', 'Order'), ('Schedule Order Fulfillment', 'Order'), ('Customer', 'Send Invoice to Customer'), ('Shipment', 'Ship Order'), ('Product', 'Generate Pick List'), ('Generate Invoice', 'Order'), ('Perform Credit Check', 'Customer'), ('Customer', 'Perform Credit Check'), ('Dispute', 'Handle Payment Discrepancy'), ('Perform Credit Check', 'Order'), ('Invoice', 'Generate Invoice'), ('Generate Shipping Label', 'Order'), ('Ship Order', 'Order'), ('Reject Order', 'Customer'), ('Handle Payment Discrepancy', 'Invoice'), ('Reject Order', 'Order'), ('Generate Pick List', 'Product'), ('Handle Payment Discrepancy', 'Dispute'), ('Apply Payment', 'Invoice'), ('Invoice', 'Apply Payment'), ('CreditNote', 'Issue Credit Note'), ('Product', 'Pick Items'), ('Generate Invoice', 'Invoice'), ('Process Return Request', 'Return'), ('Payment', 'Receive Payment'), ('Payment', 'Apply Payment'), ('Customer', 'Process Return Request'), ('Invoice', 'Issue Payment Reminder'), ('Receive Payment', 'Invoice'), ('Apply Payment', 'Payment'), ('Shipment', 'Generate Shipping Label'), ('Invoice', 'Handle Payment Discrepancy'), ('Issue Credit Note', 'Return'), ('Generate Pick List', 'Order'), ('Approve Order', 'Customer'), ('Approve Order', 'Order'), ('Pack Items', 'Order'), ('Invoice', 'Receive Payment'), ('Pick Items', 'Product'), ('Customer', 'Receive Customer Order'), ('Apply Discount', 'Order')}",1610.1570219993591
3,data/04_ocel_lrms_p2p.xml,4493,8300,12,6,16112621.962916376,{'Goods Receipt'},"{('Purchase Order', 'Receive Goods'), ('Reject PR', 'Purchase Requisition'), ('Invoice', 'Receive Invoice'), ('Create PO', 'Purchase Order'), ('Goods Receipt', 'Three-way Match - Mismatch Found'), ('Create PO (Batch)', 'Purchase Order'), ('Make Payment', 'Invoice'), ('Approve PO', 'Purchase Order'), ('Three-way Match - Mismatch Found', 'Invoice'), ('Purchase Order', 'Receive Invoice'), ('Make Payment', 'Payment'), ('Goods Receipt', 'Receive Goods'), ('Purchase Order', 'Send PO to Supplier'), ('Purchase Order', 'Approve PO'), ('Invoice', 'Three-way Match - Successful'), ('Approve PR', 'Purchase Requisition'), ('Create PR', 'Purchase Requisition'), ('Three-way Match - Mismatch Found', 'Goods Receipt'), ('Three-way Match - Mismatch Found', 'Purchase Order'), ('Purchase Order', 'Create PO'), ('Invoice', 'Three-way Match - Mismatch Found'), ('Make Payment', 'Supplier'), ('Purchase Order', 'Three-way Match - Successful'), ('Send PO to Supplier', 'Purchase Order'), ('Purchase Order', 'Create PO (Batch)'), ('Send PO to Supplier', 'Supplier'), ('Purchase Order', 'Three-way Match - Mismatch Found'), ('Create PO', 'Purchase Requisition'), ('Create PO (Batch)', 'Purchase Requisition'), ('Goods Receipt', 'Three-way Match - Successful'), ('Invoice', 'Make Payment'), ('Payment', 'Make Payment')}",110.37315154075623
4,data/05_ocel_lrms_hr.xml,3768,18119,24,6,9024324220.834736,{'Candidate'},"{('JobRequisition', 'Create Job Requisition'), ('Send Offer Letter', 'Candidate'), ('Prepare Offer Letter', 'Candidate'), ('Post Job Opening', 'Recruiter'), ('Conduct Initial Interview', 'Candidate'), ('Candidate', 'Send Assessment'), ('Conduct Initial Interview', 'Recruiter'), ('Complete Background Check', 'Candidate'), ('Send Assessment', 'Candidate'), ('Complete Assessment', 'Assessment'), ('Assessment', 'Review Assessment'), ('Candidate', 'Prepare Offer Letter'), ('Create Job Requisition', 'JobRequisition'), ('Schedule Panel Interview', 'Candidate'), ('Conduct Panel Interview', 'Interviewer'), ('Candidate', 'Complete Background Check'), ('Candidate', 'Initiate Background Check'), ('Complete HR Paperwork', 'Candidate'), ('Review Assessment', 'Candidate'), ('Candidate', 'Evaluate Interview'), ('Start Onboarding', 'Candidate'), ('Candidate', 'Send Offer Letter'), ('Candidate', 'Schedule Initial Interview'), ('Evaluate Interview', 'HiringManager'), ('Assessment', 'Complete Assessment'), ('Candidate', 'Schedule Panel Interview'), ('Approve Job Requisition', 'JobRequisition'), ('Screen Resume', 'Candidate'), ('Candidate', 'Complete Onboarding'), ('Prepare Offer Letter', 'HiringManager'), ('Screen Resume', 'Recruiter'), ('Candidate', 'Submit Application'), ('Attend Orientation Training', 'Candidate'), ('Send Rejection Letter', 'Candidate'), ('Candidate', 'Candidate Reject Offer'), ('JobRequisition', 'Approve Job Requisition'), ('JobRequisition', 'Post Job Opening'), ('Conduct Panel Interview', 'Candidate'), ('Candidate', 'Send Rejection Letter'), ('Schedule Initial Interview', 'Candidate'), ('Assessment', 'Send Assessment'), ('Complete Assessment', 'Candidate'), ('Send Assessment', 'Assessment'), ('Candidate', 'Complete Assessment'), ('Schedule Initial Interview', 'Recruiter'), ('Candidate Accept Offer', 'Candidate'), ('Candidate', 'Conduct Panel Interview'), ('Candidate Reject Offer', 'Candidate'), ('JobRequisition', 'Submit Application'), ('Candidate', 'Start Onboarding'), ('Review Assessment', 'Assessment'), ('Candidate', 'Conduct Initial Interview'), ('Candidate', 'Review Assessment'), ('Review Assessment', 'HiringManager'), ('Candidate', 'Candidate Accept Offer'), ('Candidate', 'Attend Orientation Training'), ('Post Job Opening', 'JobRequisition'), ('Complete Onboarding', 'Candidate'), ('Candidate', 'Complete HR Paperwork'), ('Initiate Background Check', 'Candidate'), ('Create Job Requisition', 'HiringManager'), ('Evaluate Interview', 'Candidate'), ('Schedule Panel Interview', 'Interviewer'), ('Candidate', 'Screen Resume')}",1151.943979024887
5,data/06_ocel_lrms_hospital.xml,3688,14642,9,8,65173763.00723422,{'Bed'},"{('Pre-Admission Consultation', 'Patient'), ('Perform Diagnostic Test', 'LabTechnician'), ('Assign Bed', 'Bed'), ('Nurse', 'Initial Evaluation'), ('Initial Evaluation', 'Patient'), ('Assign Bed', 'Room'), ('LabTechnician', 'Perform Diagnostic Test'), ('Patient Arrival', 'Patient'), ('Physician', 'Diagnostic Test Order'), ('Perform Diagnostic Test', 'Patient'), ('Registration', 'Patient'), ('Appointment Scheduling', 'Patient'), ('InsuranceCompany', 'Insurance Verification'), ('Nurse', 'Registration'), ('Initial Evaluation', 'Nurse'), ('Perform Diagnostic Test', 'DiagnosticEquipment'), ('Diagnostic Test Order', 'Physician'), ('DiagnosticEquipment', 'Perform Diagnostic Test'), ('Insurance Verification', 'Patient'), ('Bed', 'Assign Bed'), ('Pre-Admission Consultation', 'Physician'), ('Insurance Verification', 'InsuranceCompany'), ('Assign Bed', 'Patient'), ('Diagnostic Test Order', 'Patient'), ('Registration', 'Nurse'), ('Physician', 'Pre-Admission Consultation')}",80.66786026954651
6,data/07_ocel_legacy_github_pm4py.jsonocel,532,1798,20,3,276990375.93129057,{'org:resource'},"{('case:repo', 'head_ref_deleted'), ('case:repo', 'unlabeled'), ('case:repo', 'commented'), ('org:resource', 'referenced'), ('case:repo', 'moved_columns_in_project'), ('milestoned', 'case:repo'), ('org:resource', 'unassigned'), ('case:concept:name', 'head_ref_restored'), ('case:concept:name', 'added_to_project'), ('case:concept:name', 'subscribed'), ('org:resource', 'closed'), ('case:concept:name', 'head_ref_deleted'), ('case:repo', 'cross-referenced'), ('case:concept:name', 'commented'), ('org:resource', 'mentioned'), ('case:concept:name', 'unlabeled'), ('case:concept:name', 'moved_columns_in_project'), ('case:repo', 'reopened'), ('case:concept:name', 'cross-referenced'), ('case:repo', 'labeled'), ('unlabeled', 'case:concept:name'), ('unlabeled', 'org:resource'), ('added_to_project', 'org:resource'), ('added_to_project', 'case:concept:name'), ('case:repo', 'renamed'), ('case:repo', 'created'), ('org:resource', 'assigned'), ('case:repo', 'merged'), ('case:concept:name', 'reopened'), ('case:concept:name', 'labeled'), ('case:concept:name', 'renamed'), ('org:resource', 'subscribed'), ('org:resource', 'head_ref_restored'), ('org:resource', 'head_ref_deleted'), ('org:resource', 'added_to_project'), ('org:resource', 'unlabeled'), ('case:repo', 'base_ref_changed'), ('case:repo', 'milestoned'), ('org:resource', 'moved_columns_in_project'), ('org:resource', 'commented'), ('case:concept:name', 'created'), ('case:repo', 'referenced'), ('case:concept:name', 'merged'), ('org:resource', 'cross-referenced'), ('milestoned', 'org:resource'), ('case:concept:name', 'milestoned'), ('case:repo', 'unassigned'), ('milestoned', 'case:concept:name'), ('case:repo', 'closed'), ('case:concept:name', 'base_ref_changed'), ('case:concept:name', 'referenced'), ('org:resource', 'labeled'), ('case:repo', 'mentioned'), ('org:resource', 'renamed'), ('org:resource', 'reopened'), ('unlabeled', 'case:repo'), ('case:concept:name', 'closed'), ('case:concept:name', 'unassigned'), ('added_to_project', 'case:repo'), ('case:repo', 'assigned'), ('case:concept:name', 'mentioned'), ('org:resource', 'created'), ('org:resource', 'merged'), ('case:repo', 'head_ref_restored'), ('case:repo', 'added_to_project'), ('org:resource', 'milestoned'), ('org:resource', 'base_ref_changed'), ('case:concept:name', 'assigned'), ('case:repo', 'subscribed')}",8.504497528076172
7,data/08_ocel_legacy_recruiting.jsonocel,1505,6980,16,6,5630469792.775315,{'vacancies'},"{('applicants', 'submit application'), ('applicants', 'send rejection'), ('recruiters', 'check references'), ('applicants', 'conduct interview'), ('offers', 'make job offer'), ('applications', 'invite for interview'), ('vacancies', 'submit application'), ('check references', 'recruiters'), ('applications', 'assign vacancy'), ('consult manager', 'applications'), ('recruiters', 'job offer declined'), ('offers', 'job offer declined'), ('recruiters', 'make job offer'), ('applications', 'offer accepted and hired'), ('vacancies', 'close vacancy (no hire)'), ('close vacancy (no hire)', 'vacancies'), ('vacancies', 'conduct interview'), ('vacancies', 'close vacancy for new applications'), ('applications', 'check references'), ('assign recruiter', 'applications'), ('recruiters', 'first screening'), ('send rejection', 'applicants'), ('applications', 'make job offer'), ('applications', 'job offer declined'), ('close vacancy for new applications', 'vacancies'), ('vacancies', 'change manager'), ('applicants', 'invite for interview'), ('recruiters', 'consult manager'), ('consult manager', 'managers'), ('check references', 'applications'), ('offer accepted and hired', 'applicants'), ('first screening', 'recruiters'), ('applicants', 'offer accepted and hired'), ('send rejection', 'recruiters'), ('offer accepted and hired', 'offers'), ('change manager', 'vacancies'), ('recruiters', 'send rejection'), ('offer accepted and hired', 'recruiters'), ('vacancies', 'invite for interview'), ('recruiters', 'conduct interview'), ('vacancies', 'assign vacancy'), ('applications', 'first screening'), ('recruiters', 'assign recruiter'), ('vacancies', 'offer accepted and hired'), ('open vacancy', 'vacancies'), ('applications', 'submit application'), ('applications', 'consult manager'), ('vacancies', 'open vacancy'), ('change manager', 'managers'), ('applicants', 'make job offer'), ('applicants', 'job offer declined'), ('applications', 'send rejection'), ('applications', 'conduct interview'), ('applications', 'assign recruiter'), ('open vacancy', 'managers'), ('first screening', 'applications'), ('vacancies', 'make job offer'), ('send rejection', 'applications'), ('consult manager', 'recruiters'), ('offers', 'offer accepted and hired'), ('recruiters', 'invite for interview'), ('offer accepted and hired', 'applications'), ('vacancies', 'job offer declined'), ('recruiters', 'offer accepted and hired'), ('offer accepted and hired', 'vacancies'), ('assign recruiter', 'recruiters')}",36.9945912361145
8,data/09_ocel_standard_hinge.xml,23771,38528,11,12,3205044.611206797,{'SteelSheet'},"{('SplitSteelSheet', 'SteelCoil'), ('CuttFemalePart', 'FemalePart'), ('CheckFemalePart', 'Worker'), ('CheckMalePart', 'Workstation'), ('Worker', 'CheckMalePart'), ('CuttFemalePart', 'FormedPart'), ('CuttFemalePart', 'Workstation'), ('CuttMalePart', 'FormedPart'), ('CuttMalePart', 'Workstation'), ('SteelSheet', 'HeatSteelSheet'), ('FormSteelSheet', 'Machine'), ('FemalePart', 'AssembleHinge'), ('CheckFemalePart', 'FemalePart'), ('Hinge', 'PackHinges'), ('PackHinges', 'Workstation'), ('AssembleHinge', 'SteelPin'), ('Worker', 'MoveParts'), ('CheckFemalePart', 'Workstation'), ('FemalePart', 'FormedPart'), ('MalePart', 'AssembleHinge'), ('Facility', 'MoveParts'), ('MalePart', 'FormedPart'), ('MoveParts', 'Worker'), ('SplitSteelSheet', 'Machine'), ('CoatPart', 'FormedPart'), ('CoatPart', 'Workstation'), ('HingePack', 'PackHinges'), ('PackHinges', 'HingePack'), ('SteelSheet', 'FormedPart'), ('FemalePart', 'CheckFemalePart'), ('CuttMalePart', 'Machine'), ('HeatSteelSheet', 'Workstation'), ('HeatSteelSheet', 'SteelSheet'), ('AssembleHinge', 'FemalePart'), ('Hinge', 'HingePack'), ('HingePack', 'Hinge'), ('CuttMalePart', 'MalePart'), ('CheckMalePart', 'MalePart'), ('SteelSheet', 'SteelCoil'), ('SteelPin', 'AssembleHinge'), ('AssembleHinge', 'Workstation'), ('PackHinges', 'Machine'), ('CuttFemalePart', 'Machine'), ('PackHinges', 'Hinge'), ('FormSteelSheet', 'SteelSheet'), ('FormSteelSheet', 'FormedPart'), ('FormSteelSheet', 'Workstation'), ('SteelSheet', 'FormSteelSheet'), ('MalePart', 'CheckMalePart'), ('CoatPart', 'Machine'), ('Facility', 'Workstation'), ('Hinge', 'AssembleHinge'), ('MoveParts', 'Facility'), ('HeatSteelSheet', 'Machine'), ('CheckMalePart', 'Worker'), ('Worker', 'CheckFemalePart'), ('AssembleHinge', 'Machine'), ('SplitSteelSheet', 'SteelSheet'), ('AssembleHinge', 'Hinge'), ('FemalePart', 'CuttFemalePart'), ('SteelSheet', 'SplitSteelSheet'), ('MalePart', 'CuttMalePart'), ('SplitSteelSheet', 'Workstation'), ('AssembleHinge', 'MalePart')}",3576.658089876175
9,data/10_ocel_legacy_transfer_order.jsonocel,2500,10319,3,5,2873847487.7874846,{'NLQNR'},"{('Goods Receipt', 'WERKS'), ('NLQNR', 'Transfer Confirmation'), ('Shelf Life Expiration', 'WERKS'), ('Goods Receipt', 'NLPLA'), ('Goods Receipt', 'NLQNR'), ('NLPLA', 'Goods Receipt'), ('Shelf Life Expiration', 'NLQNR'), ('NLPLA', 'Shelf Life Expiration'), ('Goods Receipt', 'QNAME'), ('NLQNR', 'Goods Receipt'), ('Shelf Life Expiration', 'QNAME'), ('Goods Receipt', 'MATNR'), ('Shelf Life Expiration', 'MATNR'), ('NLPLA', 'Transfer Confirmation'), ('NLQNR', 'Shelf Life Expiration'), ('Shelf Life Expiration', 'NLPLA')}",18.449055671691895
