,Log,Objects,Events,Activities,Types,Standard Deviation,Start,Relations,Runtime
0,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,86010275.37146647,{'Handling Unit'},"{('Container', 'Transport Document'), ('Register Customer Order', 'Customer Order'), ('Book Vehicles', 'Vehicle'), ('Handling Unit', 'Container'), ('Container', 'Load to Vehicle'), ('Drive to Terminal', 'Truck'), ('Weigh', 'Forklift'), ('Customer Order', 'Create Transport Document'), ('Weigh', 'Container'), ('Container', 'Place in Stock'), ('Drive to Terminal', 'Container'), ('Reschedule Container', 'Transport Document'), ('Handling Unit', 'Collect Goods'), ('Collect Goods', 'Handling Unit'), ('Container', 'Pick Up Empty Container'), ('Container', 'Truck'), ('Container', 'Load Truck'), ('Place in Stock', 'Forklift'), ('Book Vehicles', 'Transport Document'), ('Place in Stock', 'Container'), ('Customer Order', 'Transport Document'), ('Load Truck', 'Truck'), ('Pick Up Empty Container', 'Container'), ('Container', 'Depart'), ('Customer Order', 'Register Customer Order'), ('Container', 'Handling Unit'), ('Container', 'Bring to Loading Bay'), ('Container', 'Drive to Terminal'), ('Load Truck', 'Handling Unit'), ('Create Transport Document', 'Customer Order'), ('Load to Vehicle', 'Vehicle'), ('Load Truck', 'Container'), ('Container', 'Order Empty Containers'), ('Load to Vehicle', 'Forklift'), ('Load to Vehicle', 'Container'), ('Create Transport Document', 'Transport Document'), ('Reschedule Container', 'Vehicle'), ('Container', 'Reschedule Container'), ('Handling Unit', 'Load Truck'), ('Bring to Loading Bay', 'Forklift'), ('Reschedule Container', 'Container'), ('Container', 'Weigh'), ('Bring to Loading Bay', 'Container')}",729.5903887748718
1,data/02_ocel_standard_p2p.json,9054,14671,10,7,45151327.012028344,{'material'},"{('Create Request for Quotation', 'quotation'), ('goods receipt', 'purchase_order'), ('invoice receipt', 'payment'), ('goods receipt', 'Create Invoice Receipt'), ('invoice receipt', 'purchase_order'), ('purchase_order', 'Create Purchase Order'), ('Create Invoice Receipt', 'invoice receipt'), ('Approve Purchase Order', 'purchase_order'), ('material', 'Approve Purchase Requisition'), ('purchase_order', 'Approve Purchase Order'), ('Create Purchase Order', 'purchase_order'), ('goods receipt', 'payment'), ('purchase_order', 'payment'), ('Create Request for Quotation', 'purchase_requisition'), ('material', 'quotation'), ('invoice receipt', 'goods receipt'), ('goods receipt', 'material'), ('purchase_order', 'material'), ('material', 'Create Purchase Requisition'), ('Perform Two-Way Match', 'invoice receipt'), ('purchase_order', 'goods receipt'), ('material', 'purchase_requisition'), ('material', 'purchase_order'), ('Create Invoice Receipt', 'goods receipt'), ('invoice receipt', 'Perform Two-Way Match'), ('purchase_order', 'quotation'), ('material', 'Delegate Purchase Requisition Approval'), ('Create Purchase Order', 'quotation'), ('Approve Purchase Order', 'quotation'), ('goods receipt', 'Perform Two-Way Match'), ('invoice receipt', 'Execute Payment'), ('goods receipt', 'invoice receipt'), ('purchase_order', 'invoice receipt'), ('goods receipt', 'Create Goods Receipt'), ('purchase_order', 'Create Goods Receipt'), ('material', 'goods receipt'), ('goods receipt', 'Execute Payment'), ('invoice receipt', 'Create Invoice Receipt'), ('purchase_order', 'Execute Payment'), ('Perform Two-Way Match', 'goods receipt')}",306.1524634361267
2,data/03_ocel_lrms_o2c.xml,8819,28278,22,9,28502269013.067783,{'Invoice'},"{('Process Return Request', 'Return'), ('Pack Items', 'Order'), ('Customer', 'Reject Order'), ('Receive Customer Order', 'Order'), ('Customer', 'Process Return Request'), ('Ship Order', 'Order'), ('Customer', 'Send Invoice to Customer'), ('Generate Pick List', 'Product'), ('Invoice', 'Receive Payment'), ('Reject Order', 'Customer'), ('Invoice', 'Send Invoice to Customer'), ('Handle Payment Discrepancy', 'Customer'), ('Customer', 'Perform Credit Check'), ('Pick Items', 'Product'), ('Apply Discount', 'Order'), ('Perform Credit Check', 'Customer'), ('Handle Payment Discrepancy', 'Invoice'), ('Reject Order', 'Order'), ('Product', 'Update Inventory'), ('Invoice', 'Apply Payment'), ('CreditNote', 'Issue Credit Note'), ('Ship Order', 'Shipment'), ('Payment', 'Receive Payment'), ('Generate Invoice', 'Order'), ('Generate Invoice', 'Invoice'), ('Update Inventory', 'Product'), ('Customer', 'Issue Payment Reminder'), ('Perform Credit Check', 'Order'), ('Invoice', 'Issue Payment Reminder'), ('Validate Customer Order', 'Order'), ('Invoice', 'Generate Invoice'), ('Shipment', 'Generate Shipping Label'), ('Return', 'Process Return Request'), ('Return', 'Issue Credit Note'), ('Generate Shipping Label', 'Order'), ('Process Return Request', 'Customer'), ('Approve Order', 'Customer'), ('Payment', 'Apply Payment'), ('Shipment', 'Ship Order'), ('Dispute', 'Handle Payment Discrepancy'), ('Approve Return', 'Return'), ('Apply Payment', 'Invoice'), ('Receive Payment', 'Invoice'), ('Schedule Order Fulfillment', 'Order'), ('Process Return Request', 'Order'), ('Approve Order', 'Order'), ('Apply Payment', 'Payment'), ('Product', 'Generate Pick List'), ('Handle Payment Discrepancy', 'Dispute'), ('Customer', 'Handle Payment Discrepancy'), ('Generate Pick List', 'Order'), ('Receive Payment', 'Payment'), ('Receive Customer Order', 'Customer'), ('Issue Credit Note', 'CreditNote'), ('Return', 'Approve Return'), ('Generate Shipping Label', 'Shipment'), ('Invoice', 'Handle Payment Discrepancy'), ('Customer', 'Receive Customer Order'), ('Customer', 'Approve Order'), ('Issue Credit Note', 'Return'), ('Product', 'Pick Items')}",1570.279846906662
3,data/04_ocel_lrms_p2p.xml,4493,8300,12,6,16112621.962916376,{'Goods Receipt'},"{('Reject PR', 'Purchase Requisition'), ('Make Payment', 'Supplier'), ('Invoice', 'Three-way Match - Mismatch Found'), ('Approve PR', 'Purchase Requisition'), ('Invoice', 'Three-way Match - Successful'), ('Purchase Order', 'Receive Goods'), ('Invoice', 'Receive Invoice'), ('Three-way Match - Mismatch Found', 'Goods Receipt'), ('Goods Receipt', 'Receive Goods'), ('Purchase Order', 'Send PO to Supplier'), ('Send PO to Supplier', 'Supplier'), ('Purchase Order', 'Create PO'), ('Create PO (Batch)', 'Purchase Order'), ('Purchase Order', 'Create PO (Batch)'), ('Approve PO', 'Purchase Order'), ('Create PO (Batch)', 'Purchase Requisition'), ('Invoice', 'Make Payment'), ('Make Payment', 'Invoice'), ('Create PR', 'Purchase Requisition'), ('Payment', 'Make Payment'), ('Make Payment', 'Payment'), ('Purchase Order', 'Approve PO'), ('Purchase Order', 'Three-way Match - Mismatch Found'), ('Purchase Order', 'Three-way Match - Successful'), ('Purchase Order', 'Receive Invoice'), ('Create PO', 'Purchase Order'), ('Three-way Match - Mismatch Found', 'Invoice'), ('Goods Receipt', 'Three-way Match - Mismatch Found'), ('Send PO to Supplier', 'Purchase Order'), ('Goods Receipt', 'Three-way Match - Successful'), ('Create PO', 'Purchase Requisition'), ('Three-way Match - Mismatch Found', 'Purchase Order')}",73.20816922187805
4,data/05_ocel_lrms_hr.xml,3768,18119,24,6,9024324220.834736,{'Candidate'},"{('Candidate', 'Candidate Accept Offer'), ('Complete Assessment', 'Assessment'), ('Review Assessment', 'HiringManager'), ('Candidate', 'Complete Onboarding'), ('Assessment', 'Review Assessment'), ('Evaluate Interview', 'HiringManager'), ('Complete Assessment', 'Candidate'), ('Candidate', 'Candidate Reject Offer'), ('Candidate', 'Send Offer Letter'), ('Schedule Panel Interview', 'Interviewer'), ('Conduct Panel Interview', 'Candidate'), ('Send Rejection Letter', 'Candidate'), ('Candidate', 'Evaluate Interview'), ('JobRequisition', 'Submit Application'), ('Create Job Requisition', 'JobRequisition'), ('Complete Onboarding', 'Candidate'), ('Candidate', 'Screen Resume'), ('JobRequisition', 'Approve Job Requisition'), ('Candidate', 'Schedule Panel Interview'), ('Prepare Offer Letter', 'HiringManager'), ('Schedule Panel Interview', 'Candidate'), ('Screen Resume', 'Recruiter'), ('Assessment', 'Complete Assessment'), ('Schedule Initial Interview', 'Recruiter'), ('Candidate', 'Attend Orientation Training'), ('Candidate', 'Conduct Panel Interview'), ('Conduct Initial Interview', 'Recruiter'), ('Initiate Background Check', 'Candidate'), ('Send Offer Letter', 'Candidate'), ('Send Assessment', 'Assessment'), ('Send Assessment', 'Candidate'), ('Candidate', 'Review Assessment'), ('Post Job Opening', 'JobRequisition'), ('JobRequisition', 'Post Job Opening'), ('Assessment', 'Send Assessment'), ('Complete Background Check', 'Candidate'), ('JobRequisition', 'Create Job Requisition'), ('Candidate Accept Offer', 'Candidate'), ('Candidate', 'Send Rejection Letter'), ('Candidate Reject Offer', 'Candidate'), ('Post Job Opening', 'Recruiter'), ('Candidate', 'Start Onboarding'), ('Screen Resume', 'Candidate'), ('Candidate', 'Prepare Offer Letter'), ('Schedule Initial Interview', 'Candidate'), ('Complete HR Paperwork', 'Candidate'), ('Start Onboarding', 'Candidate'), ('Candidate', 'Complete Assessment'), ('Review Assessment', 'Candidate'), ('Candidate', 'Initiate Background Check'), ('Review Assessment', 'Assessment'), ('Conduct Initial Interview', 'Candidate'), ('Candidate', 'Schedule Initial Interview'), ('Evaluate Interview', 'Candidate'), ('Candidate', 'Complete HR Paperwork'), ('Candidate', 'Complete Background Check'), ('Attend Orientation Training', 'Candidate'), ('Candidate', 'Submit Application'), ('Candidate', 'Conduct Initial Interview'), ('Create Job Requisition', 'HiringManager'), ('Conduct Panel Interview', 'Interviewer'), ('Candidate', 'Send Assessment'), ('Approve Job Requisition', 'JobRequisition'), ('Prepare Offer Letter', 'Candidate')}",912.7013990879059
5,data/06_ocel_lrms_hospital.xml,3688,14642,9,8,65173763.00723422,{'Bed'},"{('Bed', 'Assign Bed'), ('Appointment Scheduling', 'Patient'), ('InsuranceCompany', 'Insurance Verification'), ('Perform Diagnostic Test', 'DiagnosticEquipment'), ('Nurse', 'Initial Evaluation'), ('Registration', 'Nurse'), ('Patient Arrival', 'Patient'), ('Initial Evaluation', 'Nurse'), ('Registration', 'Patient'), ('Initial Evaluation', 'Patient'), ('Assign Bed', 'Patient'), ('Perform Diagnostic Test', 'LabTechnician'), ('Pre-Admission Consultation', 'Patient'), ('Diagnostic Test Order', 'Patient'), ('DiagnosticEquipment', 'Perform Diagnostic Test'), ('LabTechnician', 'Perform Diagnostic Test'), ('Nurse', 'Registration'), ('Assign Bed', 'Room'), ('Perform Diagnostic Test', 'Patient'), ('Physician', 'Pre-Admission Consultation'), ('Pre-Admission Consultation', 'Physician'), ('Insurance Verification', 'InsuranceCompany'), ('Insurance Verification', 'Patient'), ('Diagnostic Test Order', 'Physician'), ('Physician', 'Diagnostic Test Order'), ('Assign Bed', 'Bed')}",80.68597221374512
6,data/07_ocel_legacy_github_pm4py.jsonocel,532,1798,20,3,276990375.93129057,{'org:resource'},"{('case:repo', 'head_ref_deleted'), ('case:repo', 'assigned'), ('case:concept:name', 'head_ref_deleted'), ('case:concept:name', 'assigned'), ('milestoned', 'org:resource'), ('case:repo', 'unlabeled'), ('milestoned', 'case:concept:name'), ('case:repo', 'milestoned'), ('org:resource', 'closed'), ('case:concept:name', 'milestoned'), ('case:repo', 'unassigned'), ('case:concept:name', 'unlabeled'), ('case:concept:name', 'unassigned'), ('case:repo', 'merged'), ('org:resource', 'mentioned'), ('case:repo', 'renamed'), ('case:repo', 'referenced'), ('case:concept:name', 'merged'), ('case:concept:name', 'renamed'), ('case:concept:name', 'referenced'), ('org:resource', 'assigned'), ('case:repo', 'subscribed'), ('case:repo', 'created'), ('added_to_project', 'case:repo'), ('case:concept:name', 'created'), ('org:resource', 'head_ref_deleted'), ('org:resource', 'milestoned'), ('case:concept:name', 'subscribed'), ('org:resource', 'unlabeled'), ('case:repo', 'reopened'), ('case:concept:name', 'reopened'), ('org:resource', 'unassigned'), ('org:resource', 'merged'), ('case:repo', 'commented'), ('case:concept:name', 'commented'), ('case:repo', 'moved_columns_in_project'), ('org:resource', 'renamed'), ('org:resource', 'referenced'), ('case:repo', 'base_ref_changed'), ('case:repo', 'cross-referenced'), ('added_to_project', 'org:resource'), ('case:concept:name', 'cross-referenced'), ('case:repo', 'head_ref_restored'), ('case:concept:name', 'base_ref_changed'), ('case:concept:name', 'moved_columns_in_project'), ('unlabeled', 'case:repo'), ('added_to_project', 'case:concept:name'), ('case:repo', 'added_to_project'), ('case:concept:name', 'head_ref_restored'), ('case:concept:name', 'added_to_project'), ('case:repo', 'labeled'), ('org:resource', 'subscribed'), ('case:concept:name', 'labeled'), ('org:resource', 'created'), ('org:resource', 'reopened'), ('unlabeled', 'case:concept:name'), ('org:resource', 'commented'), ('unlabeled', 'org:resource'), ('milestoned', 'case:repo'), ('case:concept:name', 'closed'), ('case:repo', 'closed'), ('org:resource', 'moved_columns_in_project'), ('case:repo', 'mentioned'), ('org:resource', 'base_ref_changed'), ('case:concept:name', 'mentioned'), ('org:resource', 'cross-referenced'), ('org:resource', 'head_ref_restored'), ('org:resource', 'added_to_project'), ('org:resource', 'labeled')}",8.358146905899048
7,data/08_ocel_legacy_recruiting.jsonocel,1505,6980,16,6,5630469792.775315,{'vacancies'},"{('assign recruiter', 'applications'), ('assign recruiter', 'recruiters'), ('vacancies', 'conduct interview'), ('vacancies', 'assign vacancy'), ('applications', 'send rejection'), ('offer accepted and hired', 'vacancies'), ('vacancies', 'change manager'), ('applications', 'make job offer'), ('open vacancy', 'vacancies'), ('applications', 'job offer declined'), ('applications', 'offer accepted and hired'), ('recruiters', 'make job offer'), ('change manager', 'managers'), ('applicants', 'conduct interview'), ('vacancies', 'submit application'), ('recruiters', 'send rejection'), ('recruiters', 'offer accepted and hired'), ('open vacancy', 'managers'), ('recruiters', 'job offer declined'), ('applicants', 'submit application'), ('vacancies', 'close vacancy for new applications'), ('vacancies', 'close vacancy (no hire)'), ('vacancies', 'make job offer'), ('consult manager', 'managers'), ('vacancies', 'job offer declined'), ('vacancies', 'offer accepted and hired'), ('applicants', 'make job offer'), ('applicants', 'send rejection'), ('applicants', 'offer accepted and hired'), ('applications', 'invite for interview'), ('first screening', 'applications'), ('close vacancy (no hire)', 'vacancies'), ('first screening', 'recruiters'), ('recruiters', 'invite for interview'), ('applications', 'check references'), ('offer accepted and hired', 'offers'), ('check references', 'applications'), ('offers', 'make job offer'), ('applicants', 'job offer declined'), ('send rejection', 'applicants'), ('offer accepted and hired', 'applicants'), ('close vacancy for new applications', 'vacancies'), ('check references', 'recruiters'), ('offers', 'offer accepted and hired'), ('recruiters', 'check references'), ('offers', 'job offer declined'), ('vacancies', 'open vacancy'), ('applications', 'first screening'), ('vacancies', 'invite for interview'), ('consult manager', 'applications'), ('applications', 'assign recruiter'), ('applications', 'conduct interview'), ('applications', 'consult manager'), ('consult manager', 'recruiters'), ('send rejection', 'applications'), ('applications', 'assign vacancy'), ('change manager', 'vacancies'), ('recruiters', 'assign recruiter'), ('recruiters', 'conduct interview'), ('send rejection', 'recruiters'), ('offer accepted and hired', 'recruiters'), ('recruiters', 'consult manager'), ('recruiters', 'first screening'), ('applicants', 'invite for interview'), ('applications', 'submit application'), ('offer accepted and hired', 'applications')}",35.976385831832886
8,data/09_ocel_standard_hinge.xml,23771,38528,11,12,3205044.611206797,{'SteelSheet'},"{('CheckMalePart', 'Worker'), ('Hinge', 'HingePack'), ('Hinge', 'AssembleHinge'), ('MoveParts', 'Facility'), ('SteelPin', 'AssembleHinge'), ('SteelSheet', 'FormSteelSheet'), ('Facility', 'Workstation'), ('AssembleHinge', 'MalePart'), ('SplitSteelSheet', 'SteelCoil'), ('HeatSteelSheet', 'Machine'), ('HeatSteelSheet', 'Workstation'), ('CuttFemalePart', 'FormedPart'), ('SteelSheet', 'SteelCoil'), ('CuttFemalePart', 'Machine'), ('CuttFemalePart', 'Workstation'), ('CuttMalePart', 'FormedPart'), ('MalePart', 'AssembleHinge'), ('CuttMalePart', 'Machine'), ('CuttMalePart', 'Workstation'), ('SteelSheet', 'HeatSteelSheet'), ('FemalePart', 'AssembleHinge'), ('HingePack', 'Hinge'), ('Worker', 'MoveParts'), ('CheckMalePart', 'Workstation'), ('SplitSteelSheet', 'Machine'), ('SplitSteelSheet', 'Workstation'), ('PackHinges', 'Workstation'), ('SteelSheet', 'FormedPart'), ('Hinge', 'PackHinges'), ('CuttFemalePart', 'FemalePart'), ('FormSteelSheet', 'FormedPart'), ('PackHinges', 'Machine'), ('CheckFemalePart', 'Worker'), ('FormSteelSheet', 'Machine'), ('FormSteelSheet', 'Workstation'), ('AssembleHinge', 'SteelPin'), ('Facility', 'MoveParts'), ('CoatPart', 'FormedPart'), ('PackHinges', 'Hinge'), ('FemalePart', 'CuttFemalePart'), ('Worker', 'CheckFemalePart'), ('CoatPart', 'Workstation'), ('AssembleHinge', 'Workstation'), ('FemalePart', 'CheckFemalePart'), ('AssembleHinge', 'Machine'), ('CoatPart', 'Machine'), ('HeatSteelSheet', 'SteelSheet'), ('SteelSheet', 'SplitSteelSheet'), ('CheckFemalePart', 'Workstation'), ('Worker', 'CheckMalePart'), ('AssembleHinge', 'FemalePart'), ('MalePart', 'CheckMalePart'), ('AssembleHinge', 'Hinge'), ('PackHinges', 'HingePack'), ('MalePart', 'CuttMalePart'), ('MoveParts', 'Worker'), ('MalePart', 'FormedPart'), ('HingePack', 'PackHinges'), ('CuttMalePart', 'MalePart'), ('FemalePart', 'FormedPart'), ('SplitSteelSheet', 'SteelSheet'), ('CheckFemalePart', 'FemalePart'), ('CheckMalePart', 'MalePart'), ('FormSteelSheet', 'SteelSheet')}",3546.376696586609
9,data/10_ocel_legacy_transfer_order.jsonocel,2500,10319,3,5,2873847487.7874846,{'NLQNR'},"{('Goods Receipt', 'NLQNR'), ('NLPLA', 'Transfer Confirmation'), ('Goods Receipt', 'MATNR'), ('Shelf Life Expiration', 'NLQNR'), ('Shelf Life Expiration', 'MATNR'), ('NLQNR', 'Shelf Life Expiration'), ('Goods Receipt', 'QNAME'), ('Goods Receipt', 'NLPLA'), ('Shelf Life Expiration', 'QNAME'), ('Shelf Life Expiration', 'NLPLA'), ('NLQNR', 'Transfer Confirmation'), ('NLPLA', 'Goods Receipt'), ('Goods Receipt', 'WERKS'), ('Shelf Life Expiration', 'WERKS'), ('NLPLA', 'Shelf Life Expiration'), ('NLQNR', 'Goods Receipt')}",14.039592981338501
