,Log,Objects,Events,Activities,Types,Standard Deviation,Start,Relations,Notion
0,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,403697.10559279466,{'Truck'},"{('Truck', 'Drive to Terminal'), ('Truck', 'Load Truck')}",Traditional
1,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,85952863.75674957,{'Container'},"{('Container', 'Weigh'), ('Container', 'Order Empty Containers'), ('Container', 'Load to Vehicle'), ('Container', 'Reschedule Container'), ('Container', 'Depart'), ('Container', 'Bring to Loading Bay'), ('Container', 'Pick Up Empty Container'), ('Container', 'Place in Stock'), ('Container', 'Drive to Terminal'), ('Container', 'Load Truck')}",Traditional
2,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,13950402.809602886,{'Transport Document'},"{('Transport Document', 'Order Empty Containers'), ('Transport Document', 'Reschedule Container'), ('Transport Document', 'Depart'), ('Transport Document', 'Create Transport Document'), ('Transport Document', 'Book Vehicles')}",Traditional
3,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,6881402.7514073225,{'Customer Order'},"{('Customer Order', 'Register Customer Order'), ('Customer Order', 'Create Transport Document')}",Traditional
4,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,298461.0801104001,{'Forklift'},"{('Forklift', 'Weigh'), ('Forklift', 'Bring to Loading Bay'), ('Forklift', 'Load to Vehicle'), ('Forklift', 'Place in Stock')}",Traditional
5,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,5124036.587425523,{'Vehicle'},"{('Vehicle', 'Load to Vehicle'), ('Vehicle', 'Reschedule Container'), ('Vehicle', 'Depart'), ('Vehicle', 'Book Vehicles')}",Traditional
6,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,3184887.301388271,{'Handling Unit'},"{('Handling Unit', 'Load Truck'), ('Handling Unit', 'Collect Goods')}",Traditional
7,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,38908997.8170633,"{'Truck', 'Container', 'Transport Document', 'Customer Order', 'Forklift', 'Vehicle', 'Handling Unit'}","{('Container', 'Transport Document'), ('Register Customer Order', 'Customer Order'), ('Transport Document', 'Order Empty Containers'), ('Forklift', 'Place in Stock'), ('Book Vehicles', 'Vehicle'), ('Handling Unit', 'Container'), ('Truck', 'Load Truck'), ('Container', 'Load to Vehicle'), ('Transport Document', 'Reschedule Container'), ('Transport Document', 'Book Vehicles'), ('Drive to Terminal', 'Truck'), ('Weigh', 'Forklift'), ('Depart', 'Transport Document'), ('Customer Order', 'Create Transport Document'), ('Order Empty Containers', 'Container'), ('Transport Document', 'Customer Order'), ('Weigh', 'Container'), ('Container', 'Place in Stock'), ('Truck', 'Container'), ('Drive to Terminal', 'Container'), ('Truck', 'Drive to Terminal'), ('Reschedule Container', 'Transport Document'), ('Handling Unit', 'Collect Goods'), ('Collect Goods', 'Handling Unit'), ('Container', 'Pick Up Empty Container'), ('Container', 'Truck'), ('Forklift', 'Bring to Loading Bay'), ('Vehicle', 'Depart'), ('Container', 'Load Truck'), ('Place in Stock', 'Forklift'), ('Book Vehicles', 'Transport Document'), ('Order Empty Containers', 'Transport Document'), ('Place in Stock', 'Container'), ('Load Truck', 'Truck'), ('Customer Order', 'Transport Document'), ('Pick Up Empty Container', 'Container'), ('Container', 'Depart'), ('Customer Order', 'Register Customer Order'), ('Container', 'Handling Unit'), ('Vehicle', 'Book Vehicles'), ('Container', 'Bring to Loading Bay'), ('Depart', 'Vehicle'), ('Vehicle', 'Reschedule Container'), ('Load Truck', 'Handling Unit'), ('Container', 'Drive to Terminal'), ('Create Transport Document', 'Customer Order'), ('Depart', 'Container'), ('Load to Vehicle', 'Vehicle'), ('Load Truck', 'Container'), ('Container', 'Order Empty Containers'), ('Forklift', 'Weigh'), ('Load to Vehicle', 'Forklift'), ('Transport Document', 'Vehicle'), ('Create Transport Document', 'Transport Document'), ('Reschedule Container', 'Vehicle'), ('Load to Vehicle', 'Container'), ('Vehicle', 'Transport Document'), ('Transport Document', 'Depart'), ('Transport Document', 'Create Transport Document'), ('Container', 'Reschedule Container'), ('Forklift', 'Load to Vehicle'), ('Transport Document', 'Container'), ('Bring to Loading Bay', 'Forklift'), ('Handling Unit', 'Load Truck'), ('Vehicle', 'Load to Vehicle'), ('Reschedule Container', 'Container'), ('Container', 'Weigh'), ('Bring to Loading Bay', 'Container')}",Connected
8,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,0.0,{'Truck'},"{('Register Customer Order', 'Customer Order'), ('Transport Document', 'Order Empty Containers'), ('Book Vehicles', 'Vehicle'), ('Truck', 'Load Truck'), ('Container', 'Load to Vehicle'), ('Transport Document', 'Reschedule Container'), ('Transport Document', 'Book Vehicles'), ('Drive to Terminal', 'Truck'), ('Weigh', 'Forklift'), ('Depart', 'Transport Document'), ('Customer Order', 'Create Transport Document'), ('Order Empty Containers', 'Container'), ('Container', 'Place in Stock'), ('Weigh', 'Container'), ('Drive to Terminal', 'Container'), ('Truck', 'Drive to Terminal'), ('Reschedule Container', 'Transport Document'), ('Handling Unit', 'Collect Goods'), ('Collect Goods', 'Handling Unit'), ('Container', 'Pick Up Empty Container'), ('Vehicle', 'Depart'), ('Container', 'Load Truck'), ('Place in Stock', 'Forklift'), ('Book Vehicles', 'Transport Document'), ('Order Empty Containers', 'Transport Document'), ('Place in Stock', 'Container'), ('Load Truck', 'Truck'), ('Pick Up Empty Container', 'Container'), ('Container', 'Depart'), ('Customer Order', 'Register Customer Order'), ('Container', 'Bring to Loading Bay'), ('Vehicle', 'Book Vehicles'), ('Depart', 'Vehicle'), ('Vehicle', 'Reschedule Container'), ('Load Truck', 'Handling Unit'), ('Container', 'Drive to Terminal'), ('Depart', 'Container'), ('Create Transport Document', 'Customer Order'), ('Load to Vehicle', 'Vehicle'), ('Load Truck', 'Container'), ('Container', 'Order Empty Containers'), ('Load to Vehicle', 'Forklift'), ('Load to Vehicle', 'Container'), ('Reschedule Container', 'Vehicle'), ('Create Transport Document', 'Transport Document'), ('Container', 'Reschedule Container'), ('Transport Document', 'Depart'), ('Transport Document', 'Create Transport Document'), ('Handling Unit', 'Load Truck'), ('Bring to Loading Bay', 'Forklift'), ('Vehicle', 'Load to Vehicle'), ('Reschedule Container', 'Container'), ('Container', 'Weigh'), ('Bring to Loading Bay', 'Container')}",Advanced
9,data/01_ocel_standard_container_logistics.json,13882,35372,14,7,27297336.09590116,{'Container'},"{('Register Customer Order', 'Customer Order'), ('Transport Document', 'Order Empty Containers'), ('Book Vehicles', 'Vehicle'), ('Container', 'Load to Vehicle'), ('Transport Document', 'Reschedule Container'), ('Transport Document', 'Book Vehicles'), ('Drive to Terminal', 'Truck'), ('Weigh', 'Forklift'), ('Depart', 'Transport Document'), ('Customer Order', 'Create Transport Document'), ('Order Empty Containers', 'Container'), ('Container', 'Place in Stock'), ('Weigh', 'Container'), ('Drive to Terminal', 'Container'), ('Reschedule Container', 'Transport Document'), ('Handling Unit', 'Collect Goods'), ('Collect Goods', 'Handling Unit'), ('Container', 'Pick Up Empty Container'), ('Vehicle', 'Depart'), ('Container', 'Load Truck'), ('Place in Stock', 'Forklift'), ('Book Vehicles', 'Transport Document'), ('Order Empty Containers', 'Transport Document'), ('Place in Stock', 'Container'), ('Load Truck', 'Truck'), ('Pick Up Empty Container', 'Container'), ('Container', 'Depart'), ('Customer Order', 'Register Customer Order'), ('Container', 'Bring to Loading Bay'), ('Vehicle', 'Book Vehicles'), ('Depart', 'Vehicle'), ('Vehicle', 'Reschedule Container'), ('Container', 'Drive to Terminal'), ('Load Truck', 'Handling Unit'), ('Depart', 'Container'), ('Create Transport Document', 'Customer Order'), ('Load to Vehicle', 'Vehicle'), ('Load Truck', 'Container'), ('Container', 'Order Empty Containers'), ('Load to Vehicle', 'Forklift'), ('Load to Vehicle', 'Container'), ('Reschedule Container', 'Vehicle'), ('Create Transport Document', 'Transport Document'), ('Container', 'Reschedule Container'), ('Transport Document', 'Depart'), ('Transport Document', 'Create Transport Document'), ('Bring to Loading Bay', 'Forklift'), ('Handling Unit', 'Load Truck'), ('Vehicle', 'Load to Vehicle'), ('Reschedule Container', 'Container'), ('Container', 'Weigh'), ('Bring to Loading Bay', 'Container')}",Advanced
